h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q31630071,Lò gốm cổ Hưng Lợi,locatedIn,Q1854,Thành phố Hồ Chí Minh,,,,10.775555555556,106.70194444444
Q137452374,Đình Hiệp Ninh,locatedIn,Q2289221,Nam Bộ,1880,11.3064235,106.0982276,10.876,106.743
Q10840076,Đan viện Cát Minh Sài Gòn,locatedIn,Q1854,Thành phố Hồ Chí Minh,,10.783183,106.704349,10.775555555556,106.70194444444
Q8079932,Đình Đình Bảng,locatedIn,Q33381,Bắc Ninh,,21.1083,105.952,21.18608,106.07631
Q5029086,Bảo tàng Cần Thơ,locatedIn,Q216075,Cần Thơ,,10.0352,105.7867,10.1547298,105.5005357
Q6941045,Bảo tàng Lịch sử Thành phố Hồ Chí Minh,locatedIn,Q135026770,Sài Gòn,1929,10.78484,106.70759,10.780555555556,106.69916666667
Q109425809,Bảo tàng tỉnh Long An,locatedIn,Q26573,Long An,1985,10.528579175161,106.39411236931,10.666666666667,106.16666666667
Q109378264,Bảo tàng tỉnh Đồng Tháp,locatedIn,Q36676,Đồng Tháp,,10.454326180002,105.63263844603,10.455015,105.633957
Q24957572,Đền Thượng,locatedIn,Q10787435,Lào Cai,,,,22.498611111111,103.98805555556
Q6941045,Bảo tàng Lịch sử Thành phố Hồ Chí Minh,locatedIn,Q135026770,Sài Gòn,1929,10.78484,106.70759,10.780277777778,106.70305555556
Q1048345,Bảo tàng Dân tộc học Việt Nam,locatedIn,Q1858,Hà Nội,,21.040555555556,105.79833333333,21.0245,105.84117
