h,h_label,r,t,t_label,tau_start,tau_end,l_h_lat,l_h_lon,l_t_lat,l_t_lon,vi_context,source
Khu vực núi Kiếm Lĩnh,Khu vực núi Kiếm Lĩnh,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Gia Tiến - Gia Viễn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chiến khu Quỳnh Lưu,Chiến khu Quỳnh Lưu,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Nho Quan và Gia Viễn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Dốc Giang,Dốc Giang,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Phú Long - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Thung Lóng,Thung Lóng,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Phú Long - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Khu Trũng, Đồng Báng","Khu Trũng, Đồng Báng",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Sơn Lai - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Sầy,Đền Sầy,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Sơn Thành - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Mỹ Hạ,Đình Mỹ Hạ,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Gia Thủy - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Ác,Đình Ác,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Sơn Thành - Nho Quan; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Phòng tuyến Tam Điệp,Phòng tuyến Tam Điệp,locatedIn,Ninh Bình,Ninh Bình,,,,,,,"Đông Sơn và Nam Sơn, TĐ; ; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Năn,Đền Năn,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Thắng - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Bình Hải,Đền Bình Hải,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Nhân - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Nhà thờ Vũ Phạm Khải, đền họ Vũ","Nhà thờ Vũ Phạm Khải, đền họ Vũ",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Mạc - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền thờ Ninh Tốn,Đền thờ Ninh Tốn,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Mỹ - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền, chùa Khương Dụ","Đền, chùa Khương Dụ",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Phong - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Quảng Phúc,Đền Quảng Phúc,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Phong - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền La,Đền La,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Thành - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Tháp,Chùa Tháp,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Thịnh - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Phù Sa,Đình Phù Sa,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Lâm - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Trung Lận Khê,Đền Trung Lận Khê,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Thượng - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền thờ Thái phó Lê Niệm,Đền thờ Thái phó Lê Niệm,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Yên Mạc - Yên Mô; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà thờ và mộ Vũ Duy Thanh,Nhà thờ và mộ Vũ Duy Thanh,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Hải - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Văn Giáp,Đền Văn Giáp,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh An - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền Thượng, chùa Phúc Long","Đền Thượng, chùa Phúc Long",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Phú - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình thôn Đỗ,Đình thôn Đỗ,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Nhạc - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền chùa thôn Năm,Đền chùa thôn Năm,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Tiên - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Dầu,Chùa Dầu,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Hòa - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Kiến Ốc,Đền Kiến Ốc,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Trung - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền Tiên Viên, chùa Kim Rong","Đền Tiên Viên, chùa Kim Rong",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Lợi - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Phúc Nhạc,Chùa Phúc Nhạc,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh Nhạc - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền Tam Thánh, chùa Yên Lữ","Đền Tam Thánh, chùa Yên Lữ",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Khánh An - Yên Khánh; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền thờ Nguyễn Công Trứ,Đền thờ Nguyễn Công Trứ,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Quang Thiện - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà thờ đá Phát Diệm,Nhà thờ đá Phát Diệm,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Lưu Phương - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Thượng Kiệm,Đình Thượng Kiệm,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Thượng Kiệm - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Chất Thành,Đền Chất Thành,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Chất Bình - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Miếu, chùa Lạc Thiện","Miếu, chùa Lạc Thiện",locatedIn,Ninh Bình,Ninh Bình,,,,,,,Quang Thiện - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Như Độ,Đền Như Độ,locatedIn,Ninh Bình,Ninh Bình,,,,,,,Như Hòa - Kim Sơn; ; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Trần (Nam Định),Đền Trần (Nam Định),locatedIn,Ninh Bình,Ninh Bình,1962,1962,,,,,Lộc Vượng; Lịch sử văn hóa đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Cổ Trạch,Đền Cổ Trạch,locatedIn,Ninh Bình,Ninh Bình,1962,1962,,,,,Lộc Vượng; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Thiên Trường,Đền Thiên Trường,locatedIn,Ninh Bình,Ninh Bình,1962,1962,,,,,Lộc Vượng; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Đệ Tứ,Chùa Đệ Tứ,locatedIn,Ninh Bình,Ninh Bình,2004,2004,,,,,Lộc Hạ; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Cột cờ Nam Định,Cột cờ Nam Định,locatedIn,Ninh Bình,Ninh Bình,1962,1962,,,,,"Ngô Quyền, Tp. Nam Định; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Những di tích lịch sử chống Mỹ cứu nước tại thành phố Nam Định (bao gồm Cửa hàng cắt tóc và Cửa hàng ăn uống dưới hầm; Khu Chỉ huy Sở của Nhà máy Dệt; Khu di tích phố Hàng Thao - nơi ghi lại tội ác của giặc Mỹ; Hầm Chỉ huy Thành Ủy Nam Định trong thời kỳ chống Mỹ cứu nước),Những di tích lịch sử chống Mỹ cứu nước tại thành phố Nam Định (bao gồm Cửa hàng cắt tóc và Cửa hàng ăn uống dưới hầm; Khu Chỉ huy Sở của Nhà máy Dệt; Khu di tích phố Hàng Thao - nơi ghi lại tội ác của giặc Mỹ; Hầm Chỉ huy Thành Ủy Nam Định trong thời kỳ chống Mỹ cứu nước),locatedIn,Ninh Bình,Ninh Bình,1979,1979,,,,,Bà Triệu; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà số 7 phố Bến Ngự,Nhà số 7 phố Bến Ngự,locatedIn,Ninh Bình,Ninh Bình,1991,1991,,,,,"Phan Đình Phùng, Tp. Nam Định; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Cồn,Chùa Cồn,locatedIn,Ninh Bình,Ninh Bình,1997,1997,,,,,Cồn; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Cầu ngói chợ Lương,Cầu ngói chợ Lương,locatedIn,Ninh Bình,Ninh Bình,1990,1990,,,,,Hải Anh; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền chùa Xã Hạ,Đền chùa Xã Hạ,locatedIn,Ninh Bình,Ninh Bình,1995,1995,,,,,Hải Bắc; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Hà Lạn,Chùa Hà Lạn,locatedIn,Ninh Bình,Ninh Bình,2001,2001,,,,,Hải Phúc; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Phúc Hải,Chùa Phúc Hải,locatedIn,Ninh Bình,Ninh Bình,1993,1993,,,,,"Hải Minh, Hải Hậu; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Phúc Sơn,Chùa Phúc Sơn,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,"Hải Trung, Hải Hậu; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Cổ Lễ,Chùa Cổ Lễ,locatedIn,Ninh Bình,Ninh Bình,1988,1988,,,,,Cổ Lễ; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Cự Trữ,Chùa Cự Trữ,locatedIn,Ninh Bình,Ninh Bình,1990,1990,,,,,Phương Định; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Cổ Chất,Chùa Cổ Chất,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,"Phương Định, Trực Ninh; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Địa điểm các đồn binh thời Trần,Địa điểm các đồn binh thời Trần,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,"Trung Đông, Trực Ninh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Đại Bi,Chùa Đại Bi,locatedIn,Ninh Bình,Ninh Bình,1964,1964,,,,,"Nam Giang, Nam Trực; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Keo Hành Thiện,Chùa Keo Hành Thiện,locatedIn,Ninh Bình,Ninh Bình,1962,1962,,,,,"Xuân Hồng, Xuân Trường; Văn hóa kiến trúc đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Nhà lưu niệm đồng chí Trường Chinh,Nhà lưu niệm đồng chí Trường Chinh,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,"Xuân Hồng, Xuân Trường; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Nghĩa Xá,Chùa Nghĩa Xá,locatedIn,Ninh Bình,Ninh Bình,1991,1991,,,,,"Xuân Ninh, Xuân Trường; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Xuân Hy,Đền Xuân Hy,locatedIn,Ninh Bình,Ninh Bình,1990,1990,,,,,"Xuân Thủy, Xuân Trường; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Xuân Bảng,Đền Xuân Bảng,locatedIn,Ninh Bình,Ninh Bình,1989,1989,,,,,"Xuân Hùng, Xuân Trường; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Diêm Điền,Chùa Diêm Điền,locatedIn,Ninh Bình,Ninh Bình,1995,1995,,,,,"Giao Thủy, Giao Thủy; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Khu di tích Hoành Nha,Khu di tích Hoành Nha,locatedIn,Ninh Bình,Ninh Bình,1993,1993,,,,,"Giao Tiến, Giao Thủy; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Miếu và đình Cao Đài,Miếu và đình Cao Đài,locatedIn,Ninh Bình,Ninh Bình,1964,1964,,,,,"Mỹ Thành, Mỹ Lộc; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Sùng Văn,Đình Sùng Văn,locatedIn,Ninh Bình,Ninh Bình,1997,1997,,,,,"Mỹ Thuận, Mỹ Lộc; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Thượng Đồng,Đình Thượng Đồng,locatedIn,Ninh Bình,Ninh Bình,1990,1990,,,,,"Yên Tiến, Ý Yên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Ruồi,Đình Ruồi,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,"Yên Nghĩa, Ý Yên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Cát Đằng,Đình Cát Đằng,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,Ý Yên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Đô Quan","Đình, chùa Đô Quan",locatedIn,Ninh Bình,Ninh Bình,1998,1998,,,,,"Yên Khang, Ý Yên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Hưng Lộc,Đình Hưng Lộc,locatedIn,Ninh Bình,Ninh Bình,1993,1993,,,,,Nghĩa Thịnh; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền, chùa Hưng Thịnh","Đền, chùa Hưng Thịnh",locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,"Hoàng Nam, Nghĩa Hưng; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
"Đền, chùa Hà Dương","Đền, chùa Hà Dương",locatedIn,Ninh Bình,Ninh Bình,2017,2017,,,,,Nghĩa Hưng; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Thịnh Châu Hạ,Đình Thịnh Châu Hạ,locatedIn,Ninh Bình,Ninh Bình,1999,1999,,,,,Phủ Lý; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình An Bài,Đình An Bài,locatedIn,Ninh Bình,Ninh Bình,2000,2000,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình An Dương,Đình An Dương,locatedIn,Ninh Bình,Ninh Bình,2000,2000,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Bùi,Đình Bùi,locatedIn,Ninh Bình,Ninh Bình,2001,2001,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Cả,Đình Cả,locatedIn,Ninh Bình,Ninh Bình,2012,2012,,,,,Bình Lục; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Chiềng,Đình Chiềng,locatedIn,Ninh Bình,Ninh Bình,2002,2002,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Công Đồng,Đình Công Đồng,locatedIn,Ninh Bình,Ninh Bình,1990,1990,,,,,Bình Lục; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Đinh,Đình Đinh,locatedIn,Ninh Bình,Ninh Bình,1999,1999,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Mai Động,Đình Mai Động,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,Bình Lục; Lịch sử nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Mỹ Đôi,Đình Mỹ Đôi,locatedIn,Ninh Bình,Ninh Bình,1998,1998,,,,,Bình Lục; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Nam,Đình Nam,locatedIn,Ninh Bình,Ninh Bình,2010,2010,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Tái Kênh,Đình Tái Kênh,locatedIn,Ninh Bình,Ninh Bình,2006,2006,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Thanh Nghĩa,Đình Thanh Nghĩa,locatedIn,Ninh Bình,Ninh Bình,2009,2009,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Tiên Lý,Đình Tiên Lý,locatedIn,Ninh Bình,Ninh Bình,2001,2001,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Triều Hội,Đình Triều Hội,locatedIn,Ninh Bình,Ninh Bình,1988,1988,,,,,Bình Lục; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Văn Phú,Đình Văn Phú,locatedIn,Ninh Bình,Ninh Bình,1995,1995,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Vị Hạ,Đình Vị Hạ,locatedIn,Ninh Bình,Ninh Bình,1997,1997,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Vị Thượng,Đình Vị Thượng,locatedIn,Ninh Bình,Ninh Bình,2009,2009,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Yên Đổ,Đình Yên Đổ,locatedIn,Ninh Bình,Ninh Bình,1997,1997,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Cổ Viễn","Đình, chùa Cổ Viễn",locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,Bình Lục; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Đạo Truyền","Đình, chùa Đạo Truyền",locatedIn,Ninh Bình,Ninh Bình,1999,1999,,,,,Bình Lục; Lịch sử nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Đồng Du Trung","Đình, chùa Đồng Du Trung",locatedIn,Ninh Bình,Ninh Bình,2004,2004,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Ngọc Lũ","Đình, chùa Ngọc Lũ",locatedIn,Ninh Bình,Ninh Bình,2006,2006,,,,,Bình Lục; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Từ đường Lương Quận Công Trần Như Lân,Từ đường Lương Quận Công Trần Như Lân,locatedIn,Ninh Bình,Ninh Bình,1995,1995,,,,,Bình Lục; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Từ đường Nguyễn Khuyến,Từ đường Nguyễn Khuyến,locatedIn,Ninh Bình,Ninh Bình,1991,1991,,,,,Bình Lục; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Bạch Liên,Chùa Bạch Liên,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Đọi Sơn,Chùa Đọi Sơn,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,Duy Tiên; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Khánh Long,Chùa Khánh Long,locatedIn,Ninh Bình,Ninh Bình,1993,1993,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Lảnh Giang,Đền Lảnh Giang,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Yên Từ,Đền Yên Từ,locatedIn,Ninh Bình,Ninh Bình,2000,2000,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Đá An Mông,Đình Đá An Mông,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,Duy Tiên; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Khả Duy,Đình Khả Duy,locatedIn,Ninh Bình,Ninh Bình,1993,1993,,,,,Duy Tiên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Lê Xá,Đình Lê Xá,locatedIn,Ninh Bình,Ninh Bình,2004,2004,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Lũng Xuyên,Đình Lũng Xuyên,locatedIn,Ninh Bình,Ninh Bình,1988,1988,,,,,Duy Tiên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Ngô Xá,Đình Ngô Xá,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,Duy Tiên; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Ngọc Động,Đình Ngọc Động,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Tường Thụy,Đình Tường Thụy,locatedIn,Ninh Bình,Ninh Bình,1988,1988,,,,,Duy Tiên; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Bà Đanh và núi Ngọc,Chùa Bà Đanh và núi Ngọc,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,Kim Bảng; Lịch sử thắng cảnh; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Quế Lâm,Chùa Quế Lâm,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,Kim Bảng; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Ba Dân,Đền Ba Dân,locatedIn,Ninh Bình,Ninh Bình,1996,1996,,,,,Kim Bảng; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Trúc và Ngũ động Thi Sơn,Đền Trúc và Ngũ động Thi Sơn,locatedIn,Ninh Bình,Ninh Bình,1994,1994,,,,,Kim Bảng; Lịch sử thắng cảnh; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Lạc Nhuế,Đình Lạc Nhuế,locatedIn,Ninh Bình,Ninh Bình,2001,2001,,,,,Kim Bảng; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Nhật Tân,Đình Nhật Tân,locatedIn,Ninh Bình,Ninh Bình,2001,2001,,,,,Kim Bảng; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Phương Lâm,Đình Phương Lâm,locatedIn,Ninh Bình,Ninh Bình,1998,1998,,,,,Kim Bảng; Kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Phương Thượng,Đình Phương Thượng,locatedIn,Ninh Bình,Ninh Bình,1992,1992,,,,,Kim Bảng; Lịch sử kiến trúc nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
