h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q705534,Phan Huy Quát,bornIn,Q10826143,Thạch Châu,1911.0,,,18.437222222222,105.88722222222,historical_figures.csv,,,
Q714121,Niels Lan Doky,bornIn,Q1748,Copenhagen,1963.0,,,55.676111111111,12.568888888889,historical_figures.csv,,,
Q705577,Lý Nhân Tông,bornIn,Q1858,Hà Nội,1066.0,,,21.0245,105.84117,historical_figures.csv,,,
Q926038,Lê Tấn Tài,bornIn,Q33369,Khánh Hòa,1984.0,,,12.333333333333,109.0,historical_figures.csv,,,
Q987272,Düki,bornIn,Q1858,Hà Nội,1990.0,,,21.0245,105.84117,historical_figures.csv,,,
Q711858,Trần Duệ Tông,bornIn,Q1858,Hà Nội,1337.0,,,21.0245,105.84117,historical_figures.csv,,,
Q724317,Tôn Đức Thắng,bornIn,Q33421,Long Xuyên,1888.0,,,10.36857,105.4234,historical_figures.csv,,,
Q649858,Chu Huy Mân,bornIn,Q33428,Vinh,1913.0,,,18.673333333333,105.69222222222,historical_figures.csv,,,
Q710698,Giuse Ngô Quang Kiệt,bornIn,Q391406,Thánh địa Mỹ Sơn,1952.0,,,15.76324,108.124446,historical_figures.csv,,,
Q1033931,Lê Thần Tông,bornIn,Q1858,Hà Nội,1607.0,,,21.0245,105.84117,historical_figures.csv,,,
Q983839,Nguyễn Hữu Thọ,bornIn,Q1854,Thành phố Hồ Chí Minh,1910.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q716585,Ngô Sĩ Liên,bornIn,Q5116478,Chương Mỹ,1400.0,,,20.919604,105.700471,historical_figures.csv,,,
Q1062988,Nguyễn Phúc Chu,bornIn,Q1827039,Đàng Trong,1675.0,,,,,historical_figures.csv,,,
Q672819,Huỳnh Quang Thanh,bornIn,Q1854,Thành phố Hồ Chí Minh,1984.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q715407,Lê Văn Duyệt,bornIn,Q10841828,Định Tường,1763.0,,,10.358528694444,106.36429938889,historical_figures.csv,,,
Q910721,Đặng Thùy Trâm,bornIn,Q36167,Huế,1942.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q1036300,Xuân Diệu,bornIn,Q36693,Bình Định,1916.0,,,14.166666666667,109.0,historical_figures.csv,,,
Q964924,Thích Quảng Độ,bornIn,Q36681,Thái Bình,1928.0,,,20.5,106.33333333333,historical_figures.csv,,,
Q700897,Hoàng Văn Thái,bornIn,Q800054,Tiền Hải,1915.0,,,20.405467,106.503772,historical_figures.csv,,,
Q734168,Lê Quang Liêm,bornIn,Q1854,Thành phố Hồ Chí Minh,1991.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q714138,Phaolô Giuse Phạm Đình Tụng,bornIn,Q10838171,Yên Thắng,1919.0,,,20.148055555556,105.95416666667,historical_figures.csv,,,
Q958317,Nguyễn Tiến Minh,bornIn,Q1854,Thành phố Hồ Chí Minh,1983.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q1033940,Mạc Mậu Hợp,bornIn,Q1858,Hà Nội,1560.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1060315,Tôn Thất Thuyết,bornIn,Q36167,Huế,1839.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q1001807,Khúc Thừa Dụ,bornIn,Q3031628,Ninh Giang,801.0,,,20.75007,106.33329,historical_figures.csv,,,
Q1033935,Lê Thuần Tông,bornIn,Q1858,Hà Nội,1699.0,,,21.0245,105.84117,historical_figures.csv,,,
Q952839,Cung Lê,bornIn,Q1854,Thành phố Hồ Chí Minh,1972.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q704605,Phan Liêm,bornIn,Q2502014,Biên Hòa,1833.0,,,10.95,106.87388888889,historical_figures.csv,,,
Q704226,Trịnh Kiểm,bornIn,Q36175,Thanh Hóa,1503.0,,,19.8075,105.77638888889,historical_figures.csv,,,
Q705682,Hoàng Văn Hoan,bornIn,Q7273055,Quỳnh Lưu,1905.0,,,19.167,105.667,historical_figures.csv,,,
Q974252,Phêrô Nguyễn Văn Khảm,bornIn,Q881,Việt Nam,1952.0,,,16.0,108.0,historical_figures.csv,,,
Q949408,Lê Khả Phiêu,bornIn,Q36512,Thanh Hóa,1931.0,,,20.0,105.5,historical_figures.csv,,,
Q716497,Trần Hiến Tông,bornIn,Q1858,Hà Nội,1319.0,,,21.0245,105.84117,historical_figures.csv,,,
Q978221,Thùy Lâm,bornIn,Q8179,Pangkal Pinang,1987.0,,,-2.1,106.1,historical_figures.csv,,,
Q1063923,Bùi Thị Xuân,bornIn,Q1320837,Tây Sơn,1752.0,,,13.907494,108.922566,historical_figures.csv,,,
Q713228,Lý Huệ Tông,bornIn,Q206219,Hoàng thành Thăng Long,1194.0,,,21.0325,105.83972,historical_figures.csv,,,
Q665382,Trần Trọng Kim,bornIn,Q7022325,Nghi Xuân,1883.0,,,18.625,105.76666666667,historical_figures.csv,,,
Q948799,Nguyen Van Nghi,bornIn,Q1858,Hà Nội,1909.0,,,21.0245,105.84117,historical_figures.csv,,,
Q867406,Cindy Thái Tài,bornIn,Q1854,Thành phố Hồ Chí Minh,1981.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q739795,Nguyễn Văn Linh,bornIn,Q36235,Hưng Yên,1915.0,,,20.816666666667,106.05,historical_figures.csv,,,
Q774982,Đoàn Viết Hoạt,bornIn,Q1077294,Hà Tây,1942.0,,,20.833333333333,105.66666666667,historical_figures.csv,,,
Q724117,Nguyễn Đình Thi,bornIn,Q190165,Luangprabang,1924.0,,,19.89,102.13472222222,historical_figures.csv,,,
Q868808,Bùi Tấn Trường,bornIn,Q36676,Đồng Tháp,1986.0,,,10.455015,105.633957,historical_figures.csv,,,
Q704833,Cẩm Ly,bornIn,Q1854,Thành phố Hồ Chí Minh,1970.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q711456,Trần Thánh Tông,bornIn,Q1858,Hà Nội,1240.0,,,21.0245,105.84117,historical_figures.csv,,,
Q700879,Mai Hắc Đế,bornIn,Q10789959,Mai Phụ,,,,18.423055555556,105.89,historical_figures.csv,,,
Q967468,Văn Cao,bornIn,Q72818,Hải Phòng,1923.0,,,20.8,106.66666666667,historical_figures.csv,,,
Q854994,Mạc Thái Tông,bornIn,Q72818,Hải Phòng,1500.0,,,20.8,106.66666666667,historical_figures.csv,,,
Q1033966,Lê Duy Phường,bornIn,Q1858,Hà Nội,1709.0,,,21.0245,105.84117,historical_figures.csv,,,
Q738148,Ngô Đình Thục,bornIn,Q36167,Huế,1897.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q716814,Trần Thiếu Đế,bornIn,Q1858,Hà Nội,1396.0,,,21.0245,105.84117,historical_figures.csv,,,
Q926057,Nguyễn Minh Phương,bornIn,Q1320477,Long Khánh,1980.0,,,10.93306,107.24472,historical_figures.csv,,,
Q705869,Lý Anh Tông,bornIn,Q1858,Hà Nội,1136.0,,,21.0245,105.84117,historical_figures.csv,,,
Q711416,Trần Minh Tông,bornIn,Q1858,Hà Nội,1300.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1001884,Đồng Sĩ Nguyên,bornIn,Q23533,Quảng Bình,1923.0,,,17.5,106.33333333333,historical_figures.csv,,,
Q926510,Nguyễn Ngọc Thơ,bornIn,Q33421,Long Xuyên,1908.0,,,10.36857,105.4234,historical_figures.csv,,,
