h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q10793925,Minh Nhí,bornIn,Q2987563,Sa Đéc,1966,,,10.31052,105.73968
Q10788680,Lệ Thủy,bornIn,Q7333405,Vĩnh Long,1948,,,10.166666666667,106.0
Q10789927,Mai Chửng,bornIn,Q36693,Bình Định,1940,,,14.166666666667,109.0
Q10796270,Mùa A Sơn,bornIn,Q7666202,Sín Chải,1964,,,22.09888889,103.3372222
Q10796270,Mùa A Sơn,bornIn,Q7666202,Sín Chải,1964,,,22.094444444444,103.345
Q10798934,Nguyên Hồng,bornIn,Q33682,Nam Định,1918,,,20.42,106.16833333333
Q10798691,Nghiêm Xuân Yêm,bornIn,Q864791,Từ Liêm,1913,,,21.0394,105.768
Q10798937,Nguyên Ngọc,bornIn,Q2589801,Bình Triều,1932,,,15.737222222222,108.4075
Q10796783,Mỹ Lệ,bornIn,Q23533,Quảng Bình,1972,,,17.5,106.33333333333
Q10789983,Mai Văn Bộ,bornIn,Q7796900,Thốt Nốt,1918,,,10.269722222222,105.52361111111
Q3024343,Trần Thị Lý,bornIn,Q671678,Điện Quang,1933,,,15.836944444444,108.18222222222
Q1323584,Lưu Thị Diễm Hương,bornIn,Q1854,Thành phố Hồ Chí Minh,1990,,,10.775555555556,106.70194444444
Q711635,Trần Nghệ Tông,bornIn,Q1858,Hà Nội,1321,,,21.0245,105.84117
Q1464707,Lê Lương Minh,bornIn,Q36512,Thanh Hóa,1952,,,20.0,105.5
Q3375353,Bùi Tín,bornIn,Q10786490,Liên Bạt,1927,,,20.749722222222,105.77555555556
Q1111868,Nguyễn Tuân,bornIn,Q10800942,Nhân Chính,1910,,,21.003888888889,105.80305555556
Q3164474,Jean-Baptiste Urrutia Thi,bornIn,Q839431,Aldudes,1901,,,43.096111111111,-1.4258333333333
Q967516,Hoàng Cầm,bornIn,Q36736,Bắc Giang,1922,,,21.273055555556,106.19472222222
Q1381649,Men Nguyễn,bornIn,Q25315,Phan Thiết,1954,,,10.9375,108.15833333333
