h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source,h_in_vn,t_in_vn
Q133324871,Lê Văn Tấn,bornIn,Q36167,Huế,1997.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,historical_figures.csv,,,,True,True
Q134029019,Võ Trung Thành,bornIn,Q33304,Quảng Ngãi,1924.0,15.0,108.66666666667,15.0,108.66666666667,historical_figures.csv,,,,True,True
Q133832457,Nguyễn Minh Tâm,bornIn,Q5286108,Đô Lương,1972.0,18.89259,105.34027,18.89259,105.34027,historical_figures.csv,,,,True,True
Q133459014,Quế Thương,bornIn,Q10755979,Diễn Châu,1983.0,18.98277778,105.5991667,18.98277778,105.5991667,historical_figures.csv,,,,True,True
Q133324871,Lê Văn Tấn,bornIn,Q5965323,Hương Thủy,1997.0,16.40889,107.677333,16.40889,107.677333,historical_figures.csv,,,,True,True
Q134097000,Lã Quý Tùng,bornIn,Q105076326,Sài Gòn,1966.0,10.775522,106.702093,10.775522,106.702093,historical_figures.csv,,,,True,True
Q133802872,Hoàng Thị Ngọc Hoa,bornIn,Q36672,Bình Phước,2000.0,11.75,106.91666666667,11.75,106.91666666667,historical_figures.csv,,,,True,True
Q133790735,Mạc Đình Vịnh,bornIn,Q32264677,Cẩm Chế,1926.0,20.928333333333,106.42861111111,20.928333333333,106.42861111111,historical_figures.csv,,,,True,True
Q133503458,Thiên Huế,bornIn,Q10824733,Thanh Chương,1982.0,18.75,105.167,18.75,105.167,historical_figures.csv,,,,True,True
Q134096728,Quế Hằng,bornIn,Q1858,Hà Nội,1958.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q133364772,Nguyễn Tiến Tạo,bornIn,Q881,Việt Nam,1991.0,16.0,108.0,16.0,108.0,historical_figures.csv,,,,True,True
Q133307986,Hoàng Đình Quý,bornIn,Q10796823,Mỹ Quang,1930.0,14.17555556,109.0708333,14.17555556,109.0708333,historical_figures.csv,,,,True,True
Q134017245,Thiện Tùng,bornIn,Q1858,Hà Nội,1980.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134154190,Tuimi,bornIn,Q1731,Dresden,1994.0,51.0493286,13.7381437,51.0493286,13.7381437,historical_figures.csv,,,,False,False
Q133541100,Thích Giác Nhiên,bornIn,Q10838691,Ái Tử,1878.0,16.769444444444,107.16083333333,16.769444444444,107.16083333333,historical_figures.csv,,,,True,True
Q133816604,Quách Thị Hồng,bornIn,Q32257451,An Trạch,1920.0,9.1683333333333,105.355,9.1683333333333,105.355,historical_figures.csv,,,,True,True
Q133923967,Mạnh Tuấn,bornIn,Q185682,Liên bang Đông Dương,1929.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q133861097,Đào Thị Hồng Nhung,bornIn,Q32304346,Thuận Thiên,1999.0,20.765277777778,106.63777777778,20.765277777778,106.63777777778,historical_figures.csv,,,,True,True
Q133821145,Nguyễn Minh Nhật Quang,bornIn,Q1854,Thành phố Hồ Chí Minh,1994.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,historical_figures.csv,,,,True,True
Q133821580,Lê Hoàng Sương,bornIn,Q10796902,Mỹ Xuyên,1944.0,9.557,105.9882,9.557,105.9882,historical_figures.csv,,,,True,True
Q133747134,Vũ Đình Thân,bornIn,Q1858,Hà Nội,1956.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134096860,Trần Kiềm,bornIn,Q185682,Liên bang Đông Dương,1932.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q133968540,Nguyễn Dương Thiên Ân,bornIn,Q881,Việt Nam,2004.0,16.0,108.0,16.0,108.0,historical_figures.csv,,,,True,True
Q133465115,Saabirose,bornIn,Q36399,Huế,2002.0,16.463888888889,107.58666666667,16.463888888889,107.58666666667,historical_figures.csv,,,,True,True
Q133854001,Hoàng Sơn,bornIn,Q180573,Việt Nam Cộng hòa,1966.0,10.776944444444,106.69527777778,10.776944444444,106.69527777778,historical_figures.csv,,,,True,True
Q133803206,Thích Chân Quang,bornIn,Q36690,Đắk Lắk,1959.0,12.666666666667,108.05,12.666666666667,108.05,historical_figures.csv,,,,True,True
Q133847333,Xuân Sơn,bornIn,Q185682,Liên bang Đông Dương,1940.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q134017331,Đình Chiến,bornIn,Q36907,Nam Định,1956.0,20.25,106.25,20.25,106.25,historical_figures.csv,,,,True,True
Q133826036,Dương Ngọc Thạch,bornIn,Q5626082,Gò Công,1917.0,10.366666666667,106.66666666667,10.366666666667,106.66666666667,historical_figures.csv,,,,True,True
Q133894359,Hà Lệ Diễm,bornIn,Q10757594,Dương Quang,1992.0,22.1689,105.806,22.1689,105.806,historical_figures.csv,,,,True,True
Q133806333,Trần Ngọc Huỳnh,bornIn,Q8045182,Xuân Trường,1928.0,20.291709,106.33389,20.291709,106.33389,historical_figures.csv,,,,True,True
Q133874602,Hoàng Hữu Chiến,bornIn,Q10743985,Thanh An,1966.0,16.859722222222,107.07722222222,16.859722222222,107.07722222222,historical_figures.csv,,,,True,True
Q133806304,Lê Nguyên,bornIn,Q1858,Hà Nội,1931.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q133923967,Mạnh Tuấn,bornIn,Q33408,Bắc Ninh,1929.0,21.1,106.1,21.1,106.1,historical_figures.csv,,,,True,True
Q133643914,Huỳnh Kiến An,bornIn,Q1319960,Quận 11,1957.0,10.7625,106.64583333333,10.7625,106.64583333333,historical_figures.csv,,,,True,True
Q133853163,Yến Chi,bornIn,Q1858,Hà Nội,1967.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q133864324,Trần Thạch,bornIn,Q72818,Hải Phòng,1958.0,20.8,106.66666666667,20.8,106.66666666667,historical_figures.csv,,,,True,True
Q134019629,Nguyễn Văn Khiêm,bornIn,Q2503956,Gò Công,1924.0,10.372792,106.670774,10.372792,106.670774,historical_figures.csv,,,,True,True
Q133791627,Hà Vy,bornIn,Q7799512,Thủy Nguyên,1956.0,20.9493,106.67833,20.9493,106.67833,historical_figures.csv,,,,True,True
Q134029019,Võ Trung Thành,bornIn,Q10807165,Phổ Cường,1924.0,14.73138889,108.9844444,14.73138889,108.9844444,historical_figures.csv,,,,True,True
Q133451437,Khánh Linh,bornIn,Q2232482,Châu Phú,1962.0,10.570833333333,105.17083333333,10.570833333333,105.17083333333,historical_figures.csv,,,,True,True
Q134096860,Trần Kiềm,bornIn,Q5088017,Châu Thành,1932.0,10.454166666667,106.49166666667,10.454166666667,106.49166666667,historical_figures.csv,,,,True,True
Q133833582,Đặng Thái Huyền,bornIn,Q1858,Hà Nội,1980.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134277004,Hoàng Nam,bornIn,Q36900,Ninh Bình,1984.0,20.25,105.83333333333,20.25,105.83333333333,historical_figures.csv,,,,True,True
Q134300753,Hà Hoàng Hải,bornIn,Q36736,Bắc Giang,1977.0,21.27356,106.192209,21.27356,106.192209,historical_figures.csv,,,,True,True
Q133884703,Diệu Hương,bornIn,Q1320413,Quảng Trị,1977.0,16.751162,107.185691,16.751162,107.185691,historical_figures.csv,,,,True,True
Q134290278,Phạm Hải Trung,bornIn,Q10840800,Đông Mỹ,1968.0,20.915833333333,105.87666666667,20.915833333333,105.87666666667,historical_figures.csv,,,,True,True
Q133847333,Xuân Sơn,bornIn,Q10824733,Thanh Chương,1940.0,18.75,105.167,18.75,105.167,historical_figures.csv,,,,True,True
Q134194717,Nguyễn Như Ái,bornIn,Q1924271,Từ Sơn,1925.0,21.115893,105.955919,21.115893,105.955919,historical_figures.csv,,,,True,True
Q133503581,Phan Đỗ Phúc,bornIn,Q881,Việt Nam,1990.0,16.0,108.0,16.0,108.0,historical_figures.csv,,,,True,True
Q133458947,Võ Quang Hồ,bornIn,Q7188271,Phú Vang,1922.0,16.439663888889,107.715675,16.439663888889,107.715675,historical_figures.csv,,,,True,True
Q133324440,Nguyễn Đức Trung,bornIn,Q30923867,Tĩnh Gia,1974.0,,,,,historical_figures.csv,,,,True,True
Q133833583,Trịnh Quang Tùng,bornIn,Q36512,Thanh Hóa,1975.0,20.0,105.5,20.0,105.5,historical_figures.csv,,,,True,True
Q133964077,TDK,bornIn,Q33304,Quảng Ngãi,1992.0,15.0,108.66666666667,15.0,108.66666666667,historical_figures.csv,,,,True,True
Q133865048,Trần Tường (diễn viên sinh năm 1955),bornIn,Q72818,Hải Phòng,1955.0,20.8,106.66666666667,20.8,106.66666666667,historical_figures.csv,,,,True,True
Q134296779,Phạm Phong Lẫm,bornIn,Q10838210,Yên Từ,1905.0,20.138333333333,106.03944444444,20.138333333333,106.03944444444,historical_figures.csv,,,,True,True
Q134124205,Vũ Quốc Đạt,bornIn,Q36693,Bình Định,1996.0,14.166666666667,109.0,14.166666666667,109.0,historical_figures.csv,,,,True,True
Q133856862,Bùi Đình Kế,bornIn,Q10842405,Đức Nhân,1927.0,18.535277777778,105.6375,18.535277777778,105.6375,historical_figures.csv,,,,True,True
Q133832457,Nguyễn Minh Tâm,bornIn,Q36587,Nghệ An,1972.0,19.333333333333,104.83333333333,19.333333333333,104.83333333333,historical_figures.csv,,,,True,True
Q133894359,Hà Lệ Diễm,bornIn,Q881,Việt Nam,1992.0,16.0,108.0,16.0,108.0,historical_figures.csv,,,,True,True
Q134097000,Lã Quý Tùng,bornIn,Q1854,Thành phố Hồ Chí Minh,1966.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,historical_figures.csv,,,,True,True
Q134017278,Bùi Như Lai,bornIn,Q1858,Hà Nội,1975.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134054229,Thân Thúy Hà,bornIn,Q5017480,Cái Bè,1978.0,10.33333333,106.03333333,10.33333333,106.03333333,historical_figures.csv,,,,True,True
Q133364510,Võ Đức Bảo,bornIn,Q36167,Huế,1999.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,historical_figures.csv,,,,True,True
Q134019629,Nguyễn Văn Khiêm,bornIn,Q185682,Liên bang Đông Dương,1924.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q133806333,Trần Ngọc Huỳnh,bornIn,Q185682,Liên bang Đông Dương,1928.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q133638494,Đức Sơn,bornIn,Q1858,Hà Nội,1957.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134290301,Đinh Quốc Hùng,bornIn,Q10824791,Thanh Liêm,1973.0,20.4625,105.92083333333,20.4625,105.92083333333,historical_figures.csv,,,,True,True
Q133324793,Trần Văn Bun,bornIn,Q36167,Huế,2001.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,historical_figures.csv,,,,True,True
Q133806304,Lê Nguyên,bornIn,Q185682,Liên bang Đông Dương,1931.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q134054229,Thân Thúy Hà,bornIn,Q36666,Tiền Giang,1978.0,10.416666666667,106.16666666667,10.416666666667,106.16666666667,historical_figures.csv,,,,True,True
Q133874910,Mai Hoàng,bornIn,Q36485,Hưng Yên,1979.0,20.646388888889,106.05111111111,20.646388888889,106.05111111111,historical_figures.csv,,,,True,True
